"modelName","parName","condDiff","L_HDI","U_HDI"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_eta","HVLS-HVHS","-39.2258210078869","63.2328534115543"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_cs","HVLS-HVHS","-37.3572965528209","12.1968035831764"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_eps","HVLS-HVHS","-2.85985133164356","1.6197456425663"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_psi","HVLS-HVHS","-1.88727382567918","1.27186296717591"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_eta","HVLS-HVHS","-3.3007294318478","3.78020610881539"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_xi","HVLS-HVHS","-2.85907837518559","2.64792758736675"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_E0","HVLS-HVHS","-26.4018654765171","26.0131381106079"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_w0","HVLS-HVHS","-0.915172666687696","0.613014639437138"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_cs","HVLS-HVHS","-17.6440760443404","3.99593052079039"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_psi","HVLS-HVHS","-2.35202184610015","3.35790566685759"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_eta","HVLS-HVHS","-3.70301615804928","2.20639683642191"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_xi","HVLS-HVHS","-3.43756049636079","2.93352206187745"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_E0","HVLS-HVHS","-71.8715692412036","62.0909905843403"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_w0","HVLS-HVHS","-3.26060629796016","1.72471545819159"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_cs","HVLS-HVHS","-38.0569919407448","10.2175803346272"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","sigma_eta","HVLS-HVHS","-3.84041402178918","6.0693908988656"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","sigma_C","HVLS-HVHS","-12.735975902946","17.0692814818502"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","sigma_cs","HVLS-HVHS","-78.4894849683937","80.3539941187539"
